"Title","First author","Last author","Abstract","Journal","Language","Year","Month","First Author Country","Last Author Country","DOI","DOI URL","DOI MA","Country study","Location ","Keywords","Keywords MA"
"Land-use and land-management change: relationships with earthworm and fungi communities and soil structural properties.","David J Spurgeon","Jack H Faber","Background: Change in land use and management can impact massively on soil ecosystems. Ecosystem engineers and other functional biodiversity in soils can be influenced directly by such change and this in turn can affect key soil functions. Here, we employ meta-analysis to provide a quantitative assessment of the effects of changes in land use and land management across a range of successional/extensification transitions (conventional arable -> no or reduced tillage -> grassland -> wooded land) on community metrics for two functionally important soil taxa, earthworms and fungi. An analysis of the relationships between community change and soil structural properties was also included.  Results: Meta-analysis highlighted a consistent trend of increased earthworm and fungal community abundances and complexity following transitions to lower intensity and later successional land uses. The greatest changes were seen for early stage transitions, such as introduction of reduced tillage regimes and conversion to grassland from arable land. Not all changes, however, result in positive effects on the assessed community metrics. For example, whether woodland conversion positively or negatively affects community size and complexity depends on woodland type and, potentially, the changes in soil properties, such as pH, that may occur during conversion. Alterations in soil communities tended to facilitate subsequent changes in soil structure and hydrology. For example, increasing earthworm abundances and functional group composition were shown to be positively correlated with water infiltration rate (dependent on tillage regime and habitat characteristics); while positive changes in fungal biomass measures were positively associated with soil microaggregate stability.  Conclusions: These findings raise the potential to manage landscapes to increase ecosystem service provision from soil biota in relation to regulation of soil structure and water flow.","BMC ECOLOGY ","en",2013,"Dec","UK ","The Netherlands","10.1186/1472-6785-13-46","http://dx.doi.org/10.1186/1472-6785-13-46","10.1038/srep06365","Various (meta-analysis)","Various","Meta analysis;Earthworm;Fungi;Functional biodiversity;Soil porosity;Microaggregate stability ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Soil invertebrates and ecosystem services.","Lavelle, Patrick","Rossi, Jean-Pierre","Invertebrates play significant, but largely ignored, roles in the delivery of ecosystem services by soils at plot and landscape scales. They participate actively in the interactions that develop in soil among physical, chemical and biological processes. We show that soils have all the attributes of self-organized systems as proposed by Perry (Trends Ecol. Evol. 10 (1995) 241) and detail the scales at which invertebrates operate and the different kinds of ecosystem engineering that they develop. This comprehensive analysis of invertebrate activities shows that they may be the best possible indicators of soil quality. They should also be considered as a resource that needs to be properly managed to enhance ecosystem services provided by agro-ecosystems.","EUROPEAN JOURNAL OF SOIL BIOLOGY ","en",2006,"Nov","France","France","10.1093/acprof:oso/978019957592303005","http://dx.doi.org/10.1093/acprof:oso/978019957592303005","10.1038/srep06365","Review (general conceptual overview)","Various","Soil invertebrates;Ecosystem engineers;Self-organized systems;Bioindicators ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Soil fertility concepts over the past two centuries: the importance attributed to soil organic matter in developed and developing countries.","Christian Feller","Raphaël Manlay","The theories about plant nutrition and soil fertility varied widely from the antiquity to the middle of the nineteenth century, with major (Thaer A. 1809. Grundsatze der rationellen Landwirtschaft (1809-1812). Berlin (Germany): Realschulbuch Ed.) or minor (Liebig J. 1840. Die organische Chemie in ihrer Anwendung auf Agrikultur und Physiologie. Braunschweig (Germany): Vieweg) importance attributed to soil humus or soil organic matter (SOM). The importance assigned to humus over the past two centuries will be developed in this historical paper. Intensification of agriculture in the twentieth century permitted an important increase in cultivated plant yield of food, fiber, wood, and biofuel production, not only in the northern countries, but also in some southern countries (e.g., India and China) with the emergence of the Green Revolution. However, the question of organic restitutions and the maintenance (or increase) of the SOM stock was, at times, not taken into consideration; consequently, there was a general decrease in SOM stock for many tropical soils. It is now widely accepted by scientists that SOM depletion is one of the major factors leading to degradation of ecosystem services and loss of ecosystem resilience: new alternatives are now necessary for the maintenance and/or increase in plant productivity and production of environmental services by agriculture. Therefore, this paper will also present some recent research in different tropical countries with a focus on agroecological management of tropical soils.","ARCHIVES OF AGRONOMY AND SOIL SCIENCE ","en",2012,"Jan","France","France","10.1080/03650340.2012.693598","http://dx.doi.org/10.1080/03650340.2012.693598","10.1038/srep06365","Various (historical paper)","Various","soil fertility history;soil fertility concepts;soil organic matter;ecosystem services ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Ecology of arable land: perspectives and challenges","M. Clarholm","Berström L.","Over the past two decades, nutrient budgets have been constructed for a number of specific ecosystems ranging from croplands to forests. However, relatively few studies have focused on the transfers between and among ecosystem types. These transfers and their dynamics depend on properties of the landscape units themselves as well as various mechanisms that influence inter-ecosystem transfers driven by such as atmospheric, hydrological and biological conditions. The movements of nutrients, especially nitrogen, and phosphorous, are subject to several processes such as absorption, adsorption, transformation and immobilization. Thus, the particular pathway of transfer across the landscape and the rates of movement depend on both transfer mechanisms and ecosystem properties. This paper reviews the current understanding of nutrient flows across the landscape, suggests some generalities, and presents recommendations for future research.","Ecology of Arable Land — Perspectives and Challenges (book)","en",1989,"N/A","Sweden ","Sweden","10.1007/978-94-009-1021-8_23","http://dx.doi.org/10.1007/978-94-009-1021-8_23","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"SOM management in the tropics: Why feeding the soil macrofauna?","Patrick Lavelle","Jean-Pierre Rossi","This paper synthesises information on the food requirements of soil macroinvertebrates and some of their effects on soil organic matter dynamics. Some clues to techniques that would optimise their activities through organic matter management are suggested. Soil macroinvertebrates can consume almost any kind of organic residues in mutualistic association with soil microflora. Significant amounts estimated at several T per ha of predominantly easily assimilable C are used yearly in natural ecosystems as energy to sustain these activities. Sources of C used are highly variable depending on the feeding regime. The largest part of the energy assimilated (e.g., 50% by the tropical earthworm Millsonia anomala) is actually spent in burrowing and soil transport and mixing. Bioturbation often affects several thousand tons of soil per hectare per year and several tenth of m3 of voids are created in soil. A great diversity of biogenic structures accumulate and their nature and persistance over time largely controls hydraulic soil properties. The OM integrated into the compact biogenic structures (termite mounds, earthworm globular casts) is often protected from further decomposition. Most management practices have negative effects on the diversity and abundance of macroinvertebrate communities. Structures inherited from faunal activities may persist for some weeks to years and the relationship between their disappearance and soil degradation is rarely acknowledged. When SOM supply is maintained but diversity is not, the accumulation in excess of structures of one single category may have destructive effects on soil. It is therefore essential to design practices that provide the adequate organic sources to sustain the activity and diversity of invertebrates. Special attention should also be paid to the spatial array of plots and rotations in time.","Managing Organic Matter in Tropical Soils: Scope and Limitations (book)","en",2001,"N/A","France","France","10.1007/978-94-017-2172-1_6","http://dx.doi.org/10.1007/978-94-017-2172-1_6","10.1038/srep06365","N/A","N/A","earthworms;macrofauna;organic matter management;soil structure;tropical soils","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Organic inputs for soil fertility management in tropical agroecosystems: application of an organic resource database.","Cheryl A Palm","Ken E Giller","Organic resources play a critical role in both short-term nutrient availability and longer-term maintenance of soil organic matter in most smaller holder farming systems in the tropics. Despite this importance, there is little predictive understanding for the management of organic inputs in tropical agroecosystems. In this paper, an organic resource database (ORD) is introduced that contains information on organic resource quality parameters including macronutrient, lignin and polyphenol contents of fresh leaves, litter, stems and/or roots from almost 300 species found in tropical agroecosystems, Data on the soil and climate from where the material was collected are also included, as are decomposition and nutrient release rates of many of the organic inputs. Examples of uses of ORD are provided in the paper: (1) nutrient contents (including median values and ranges) and other resource quality parameters of farmyard manure and crop residues are compared to that of alternative nutrient sources such as different plant parts and plant types; (2) nutrient stocks found in farm boundary hedges are estimated and evaluated as a source of nutrients for soil fertility management; (3) hypotheses regarding the indices and critical values of N, lignin, and polyphenol contents for predicting N release rates are tested; (4) organic materials for soil fertility management experiments are selected. This database, when coupled with models and decision support tools, will help advance organic matter management for soil fertility improvement from an empirical to a predictive practice.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT ","en",2001,"Jan","USA","The Netherlands","10.1016/s0167-8809(00)00267-x","http://dx.doi.org/10.1016/s0167-8809(00)00267-x","10.1038/srep06365","N/A","N/A","N mineralization;Lignin;Organic resource quality;Nutrient budgets;Polyphenol","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"An overview of some tillage impacts on earthworm population abundance and diversity - implications for functioning in soils.","K.Y Chan","K.Y Chan","Conflicting reports in the literature on the effects of tillage on earthworms are reviewed in the light of their roles in agroecosystem functioning. Tillage can change the abundance (by 2-9 times) as well as the composition (diversity) of earthworm populations. The actual impact is dependent on soil factors, climatic conditions and the tillage operations but hitherto this information was seldom provided in research reports. The declines in earthworm population often reported in conventionally tilled soils are associated with undesirable changes in the soil environmental conditions resulting from excessive tillage. Different species of earthworm respond differently to tillage. While the abundance of the deep burrowing species (anecic) tends to decline under tillage, particularly under deep ploughing, endogeic species can actually increase in number especially when there is increased food supply. Under conservation tillage systems, earthworms can potentially play a more important role than under conventional tillage in the functioning of the farming systems because of their abilities to modify the soil physical environment and nutrient cycling. However, adoption of conservation tillage does not automatically result in an optimal earthworm population in terms of abundance and diversity. There are opportunities to introduce more beneficial species to improve the ecological performance of agro-ecosystems. More research is needed to fully understand the ecology of different earthworm species, their interactions and their potential roles in promoting more sustainable farming systems. ","SOIL & TILLAGE RESEARCH ","en",2001,"Jan","China ","China","10.1016/s0167-1987(00)00173-2","http://dx.doi.org/10.1016/s0167-1987(00)00173-2","10.1038/srep06365","Various (review)","Various","no-tillage;sustainability;anecic;endogeic;soil structure;earthworm ecology;A longa","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"A meta-analysis of experimental warming effects on terrestrial nitrogen pools and dynamics.","Bai, Edith","Jiang, Ping","Global warming may have profound effects on terrestrial ecosystems. However, a comprehensive evaluation of the effects of warming on ecosystem nitrogen (N) pools and dynamics is not available. Here, we compiled data of 528 observations from 51 papers and carried out a meta-analysis of experimental warming effects on 13 variables related to terrestrial N pools and dynamics. We found that, on average, net N mineralization and net nitrification rate were increased by 52.2 and 32.2%, respectively, under experimental warming treatment. N pools were also increased by warming, although the magnitude of this increase was less than that of N fluxes. Soil microbial N and N immobilization were not changed by warming, probably because microbes are limited by carbon sources. Grassland and shrubland/heathland were less responsive to warming than forest, probably because the reduction of soil moisture by warming offset the temperature effect in these areas. Soil heating cable and all-day treatment appeared to be the most effective method on N cycling among all treatment methods. Results of this meta-analysis are useful for better understanding the response of N cycling to global warming and the underlying mechanism of warming effects on plants and ecosystem functions.","NEW PHYTOLOGIST ","en",2013,"Jul","China","China","10.2307/3060925","http://dx.doi.org/10.2307/3060925","10.1038/srep06365","Various (meta-analysis)","Various","increased temperature;mineralization;N cycling processes;nitrification;nitrogen fluxes","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Handling continuous outcomes in quantitative synthesis. Methods guide for comparative effectiveness reviews.","Rongwei Fu","Sally Morton","  Comparative Effectiveness Reviews are systematic reviews of existing research on the effectiveness, comparative effectiveness, and harms of different health care interventions. They provide syntheses of relevant evidence to inform real-world health care decisions for patients, providers, and policymakers. Strong methodologic approaches to systematic review improve the transparency, consistency, and scientific rigor of these reports. Through a collaborative effort of the Effective Health Care (EHC) Program, the Agency for Healthcare Research and Quality (AHRQ), the EHC Program Scientific Resource Center, and the AHRQ Evidence-based Practice Centers have developed a Methods Guide for Comparative Effectiveness Reviews. This Guide presents issues key to the development of Comparative Effectiveness Reviews and describes recommended approaches for addressing difficult, frequently encountered methodological issues.  The Methods Guide for Comparative Effectiveness Reviews is a living document, and will be updated as further empiric evidence develops and our understanding of better methods improves. Comments and suggestions on the Methods Guide for Comparative Effectiveness Reviews and the Effective Health Care Program can be made at www.effectivehealthcare.ahrq.gov. ","Book","en",2008,"N/A","USA","USA","10.1007/978-0-230-36582-7_12","http://www.ncbi.nlm.nih.gov/books/nbk154408/","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Soil organisms as components of ecosystems (Ecological Bulletins)","W. Fritsche","W. Fritsche","N/A","Journal of Basic Microbiology","en",1979,"N/A","Germany","Germany","10.1002/jobm.3630190826","http://dx.doi.org/10.1002/jobm.3630190826","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Earthworm management in tropical agroecosystems.","P.J Bohlen","P.J Bohlen","The first three chapters of the book deal with earthworm taxonomy, community structure and environmental plasticity. A worldwide survey of 151 earthworm species in the humid tropics shows that these species can be divided into four categories based on whether they are native or exotic and have a broad or narrow range of environmental tolerances. This analysis provides an extremely useful framework for categorizing species for management purposes but also has relevance to conservation of rare, native species with limited environmental plasticity. An analysis of the origin and structure of earthworm communities in the tropics reveals that earthworms comprise 40–90% of the macrofaunal biomass in most tropical ecosystems, except for annually cropped systems. Their importance to faunal biomass in tropical forests calls into question the prevailing view that other soil groups, such as ants or termites, are more important than earthworms in organic matter processing and soil turnover in the tropics. As in temperate ecosystems, earthworms account for the bulk of the soil animal biomass, except where they are limited by lack of moisture. Interestingly, native species apparently survive better in managed systems of India and Africa than in Mexico and Central America, possibly due to the greater geographical isolation of Central America relative to the other regions. The chapter on environmental tolerance of earthworms that have extended distribution helps to explain why these species are so successful and suggests that they may have different effects on N mineralization than native endemic species.The next three chapters of the book deal, in turn, with the effects of earthworms on plant production, soil physical properties and organic matter and nutrient dynamics. The chapter on plant production contains perhaps the most extensive analysis of the influence of earthworms on plant growth ever undertaken. Summarizing over 240 results the authors show that most studies report an increase of growth in plant shoots and grain yield in the presence of earthworms and that the greatest increases occur in sandy soils with low organic matter content. This chapter also does an excellent job of summarizing the mechanisms by which earthworms may enhance worm growth, although there remain many uncertainties in this area.","Soil Biology and Biochemistry","en",2000,"Jun","USA","USA","10.1016/s0038-0717(00)00026-2","http://dx.doi.org/10.1016/s0038-0717(00)00026-2","10.1038/srep06365","Various","Various","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Earthworm communities in grasslands and horticultural soils.","W. A. M. Didden","W. A. M. Didden","In a survey of 42 farm sites, comprising grassland and two types of horticultural farms (growing vegetables or flower bulbs), earthworm communities were sampled by hand-sorting and a number of soil physicochemical characteristics recorded. For heavy metals the availability in the soil solution was estimated based on the measured absolute content. Abundance, biomass and species richness were significantly higher in grassland soils than in horticultural soils, and within the horticultural farms significantly higher in vegetable than in flower-bulb farms. No epigeic species were found in horticultural soils. The differences between the various farm types were probably related to the intensity of management practices, such as soil tillage, harvesting and crop protection measures, that result in less soil organic matter of lower quality. The data from the grassland farms were analyzed in conjunction with the physico-chemical soil characteristics, applying canonical correspondence analysis. Community parameters such as species richness and diversity apparently were not related to soil characteristics, but an appreciable part of the variation in abundance and biomass of several individual species could be explained by factors such as lutum content (particles < 16 m), pH, bio-availability of metal ions and geographical position of the sample site. It is concluded that repeated surveys of this type may become a valuable tool for monitoring soil quality.","BIOLOGY AND FERTILITY OF SOILS ","en",2001,"Feb","The Netherlands","The Netherlands","10.1007/s003740000297","http://dx.doi.org/10.1007/s003740000297","10.1038/srep06365","The Netherlands","marine clay, sandy soil, The Netherlands","Earthworms;Grassland;Community;Structure;Survey ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Keys to Soil Taxonomy.","Soil Survey Staff","Soil Survey Staff","For decades, NRCS has worked with soil scientists from around the world to increase awareness and expand knowledge of the importance of soil and its impact on all aspects of life. The translation expands the horizons of the Keys to Soil Taxonomy by allowing professionals around the world to apply and interpret the system in a more uniform and consistent way. While soils differ globally, the ability to apply a system that is universally understood and accepted is a goal shared by many soil scientists.  As the world struggles with global warming and other environmental challenges, having a universally accepted method that can be applied when soil problems are addressed will contribute to successful outcomes. Soil scientists and other professionals from Latin America, the United States, and other countries will benefit from this translation effort for years to come.","USDA-Natural Resources Conservation Service","en",2022,"N/A","USA","USA","10.2136/sh2003.3101","https://www.nrcs.usda.gov/resources/guides-and-instructions/keys-to-soil-taxonomy","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Are miroorganisms more effective than plants at competing for nitrogen?","Angela Hodge","Alastair Fitter","Plant scientists have long debated whether plants or microorganisms are the superior competitor for nitrogen in terrestrial ecosystems. Microorganisms have traditionally been viewed as the victors but recent evidence that plants can take up organic nitrogen compounds intact and can successfully acquire N from organic patches in soil raises the question anew. We argue that the key determinants of ‘success’ in nitrogen competition are spatial differences in nitrogen availability and in root and microbial distributions, together with temporal differences in microbial and root turnover. Consequently, it is not possible to discuss plant–microorganism competition without taking into account this spatiotemporal context.","TRENDS IN PLANT SCIENCE ","en",2000,"Jul","UK","UK","10.1016/s1360-1385(00)01656-3","http://dx.doi.org/10.1016/s1360-1385(00)01656-3","10.1038/srep06365","UK","N/A","Plant science;Ecology;Soil hetrogenicity;Micro-organisms;Nitrogen;Competition;Mycorrhiza","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Element interactions limit soil carbon storage.","Kees-Jan van Groenigen","Chris van Kessel","Rising levels of atmospheric CO2 are thought to increase C sinks in terrestrial ecosystems. The potential of these sinks to mitigate CO2  emissions, however, may be constrained by nutrients. By using metaanalysis, we found that elevated CO2 only causes accumulation of soil C when N is added at rates well above typical atmospheric N inputs. Similarly, elevated CO2 only enhances N2 fixation, the major natural process providing soil N input, when other nutrients (e.g., phosphorus, molybdenum, and potassium) are added. Hence, soil C sequestration under elevated CO2 is constrained both directly by N availability and indirectly by nutrients needed to support N;;  2;;  fixation.;;","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA ","en",2006,"Apr","UK","USA","10.1073/pnas509038103","https://doi.org/10.1073/pnas.0509038103","10.1038/srep06365","Various (We extracted results for soil C contents, root biomass, and N2 fixation from atmospheric CO2 enrichment studies conducted in the field)","Various","global climate change;N-2 fixation;soil organic matter ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"The role of residues management in sustainable agricultural systems.","R. Lal","R. Lal","Crop residues returned to the soil can maintain or enhance soil quality and productivity through favorable effects on soil properties and life-support processes. In the U.S., crop residues produced by 19 principal crops are estimated at 400 million Mg/yr, compared with 2952 million Mg/yr produced in the world. Crop residues returned to the soil contribute to the maintenance of and an increase in soil organic carbon content and add plant nutrients and reduce fertilizer requirements. Total amount of principal nutrients in crop residues range from 40 to 100 Kg/Mg. Consumption of fertilizers in 1991 was 116 million Mg of N, P and K in the world and 16 million Mg in the U.S. In comparison, nutrients (N + P + K) contained in crop residues amount to 9 million Mg/yr in the U.S, and 74 million Mg/yr in the world. Therefore, a considerable quantity of fertilizers can be saved by returning the residues produced to the soil.  Residue management is also important in soil and water conservation. About 2.5 Mg/ha of crop residue applied as mulch can reduce soil loss by 60%. Water conservation is an equally important benefit of returning crop residue, especially for rainfed agriculture in arid and semi-arid regions. Water stored in the root zone increases with increasing amount of residue returned to the soil. There are also snow retention benefits of crop residue mulch.  Fuel value is estimated at 18.6 x 10(9) J or 2 bbl of oil per Mg of crop residues. Total fuel value is estimated at 7 EJ/yr (1 EJ = Exa Joule = 1 x 10(18) Joules) in the U.S, and 64 EJ/yr in the world. Management of crop residues can also be a useful strategy for sequestering carbon into the soil, and reducing emissions of radiatively-active gases into the atmosphere: About 1.5 Pg (1 Pg = 1 peta gram = 1 x 10(15) g) of carbon Is stored in the crop residues produced annually in the world.  Crop residues influence agricultural sustainability by enhancing productivity. Productivity increases with residue returned are greater with low rates of fertilizers than with high or recommended rates. Generally there is a synergistic effect between residue returned and fertilizer use. Innovative cropping systems should be developed to produce the desired amount of crop residue for alternative uses and returning surplus to the soil. In this regard, cover crops and conservation tillage systems can play an important role in designing appropriate cropping/farming systems.","JOURNAL OF SUSTAINABLE AGRICULTURE","en",1995,"Jan","USA","USA","10.1300/j064v05n04_06","http://dx.doi.org/10.1300/j064v05n04_06","10.1038/srep06365","USA","Various","Keywords +: CARBON","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"The meta-analysis of response ratios in experimental ecology.","Larry V. Hedges","Peter S. Curtis","Meta-analysis provides formal statistical techniques for summarizing the results of independent experiments and is increasingly being used in ecology. The response ratio (the ratio of mean outcome in the experimental group to that in the control group) and closely related measures of proportionate change are often used as measures of effect magnitude in ecology. Using these metrics for meta-analysis requires knowledge of their statistical properties, but these have not been previously derived. We give the approximate sampling distribution of the log response ratio, discuss why it is a particularly useful metric for many applications in ecology, and demonstrate how to use it in meta-analysis. The meta-analysis of response-ratio data is illustrated using experimental data on the effects of increased atmospheric CO2 on plant biomass responses.","Ecology","en",1999,"Jun","USA","USA","10.2307/177062","http://dx.doi.org/10.2307/177062","10.1038/srep06365","Various (meta-analysis)","Various","effect size;elevated CO2;plant biomass responses;meta-analysis in experimental ecology;meta-analysis of response ratios;research synthesis;response ratio;statistical techniques","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Assessing the effect of elevated carbon dioxide on soil carbon: A comparison of four meta-analyses.","BRUCE A. HUNGATE","CRAIG W. OSENBERG","Soil is the largest reservoir of organic carbon (C) in the terrestrial biosphere and soil C has a relatively long mean residence time. Rising atmospheric carbon dioxide (CO2) concentrations generally increase plant growth and C input to soil, suggesting that soil might help mitigate atmospheric CO2 rise and global warming. But to what extent mitigation will occur is unclear. The large size of the soil C pool not only makes it a potential buffer against rising atmospheric CO2, but also makes it difficult to measure changes amid the existing background. Meta‐analysis is one tool that can overcome the limited power of single studies. Four recent meta‐analyses addressed this issue but reached somewhat different conclusions about the effect of elevated CO2 on soil C accumulation, especially regarding the role of nitrogen (N) inputs. Here, we assess the extent of differences between these conclusions and propose a new analysis of the data. The four meta‐analyses included different studies, derived different effect size estimates from common studies, used different weighting functions and metrics of effect size, and used different approaches to address nonindependence of effect sizes. Although all factors influenced the mean effect size estimates and subsequent inferences, the approach to independence had the largest influence. We recommend that meta‐analysts critically assess and report choices about effect size metrics and weighting functions, and criteria for study selection and independence. Such decisions need to be justified carefully because they affect the basis for inference. Our new analysis, with a combined data set, confirms that the effect of elevated CO2 on net soil C accumulation increases with the addition of N fertilizers. Although the effect at low N inputs was not significant, statistical power to detect biogeochemically important effect sizes at low N is limited, even with meta‐analysis, suggesting the continued need for long‐term experiments.","GLOBAL CHANGE BIOLOGY","en",2009,"Aug","USA","USA","10.1111/j.1365-2486.20091866.x","https://ecoss.nau.edu/wp-content/uploads/2017/01/HUNGATE_et_al-2009-Global_Change_Biology.pdf","10.1038/srep06365","Various (meta-analysis comparison)","Various","C sequestration;effect size;elevated CO2;meta-analysis;soil C;statistical power ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Statistical Methods for Meta-analysis.","Nelson, Jon P.","Nelson, Jon P.","Meta-analysis is the quantitative synthesis of multiple primary studies containing estimates of similar empirical magnitudes or effect sizes. Meta-analysis allows generalizations about the underlying population of effects and increases the power of statistical tests. Meta-regression analysis can control statistically for factual heterogeneity, methodological diversity, and possible biases among the primary studies. In the context of benefit transfers, meta-analysis can produce reduced-form functions that identify and test systematic influences of study, economic, and resource attributes on willingness to pay and other environmental valuations. This chapter provides an introduction to basic statistical methods employed in meta-analysis, including weighted-averages and meta-regressions. The chapter identifies and discusses solutions to several econometric problems commonly associated with metadata, including heterogeneity, heteroskedasticity, correlated effects, and publication bias. Basic statistical concepts and methods are illustrated using a sample of estimates for the value of a statistical life, including within-sample and out-of-sample forecasts. Benefit-transfer errors are assessed using several alternative statistical measures.","BENEFIT TRANSFER OF ENVIRONMENTAL AND RESOURCE VALUES: A GUIDE FOR RESEARCHERS AND PRACTITIONERS","en",2015,"N/A","USA","USA","10.1007/978-94-017-9930-0_15","https://link.springer.com/chapter/10.1007/978-94-017-9930-0_15","10.1038/srep06365","N/A","N/A","Meta-analysis;Meta-regression analysis;Benefit transfer;Environmental valuation functions;Benefit-transfer errors;Publication bias;Value of a statistical life ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"A meta-analysis of elevated CO2 effects on woody plant mass, form and physiology.","Peter S. Curtis","Xianzhong Wang","Quantitative integration of the literature on the effect of elevated CO2 on woody plants is important to aid our understanding of forest health in coming decades and to better predict terrestrial feedbacks on the global carbon cycle. We used meta-analytic methods to summarize and interpret more than 500 reports of effects of elevated CO2 on woody plant biomass accumulation and partitioning, gas exchange, and leaf nitrogen and starch content. The CO2 effect size metric we used was the log-transformed ratio of elevated compared to ambient response means weighted by the inverse of the variance of the log ratio. Variation in effect size among studies was partitioned according to the presence of interacting stress factors, length of CO2 exposure, functional group status, pot size, and type of CO2 exposure facility. Both total biomass (WT) and net CO2 assimilation (A) increased significantly at about twice ambient CO2, regardless of growth conditions. Low soil nutrient availability reduced the CO2 stimulation of WT by half, from + 31 % under optimal conditions to + 16 %, while low light increased the response to + 52 %. We found no significant shifts in biomass allocation under high CO2. Interacting stress factors had no effect on the magnitude of responses of A to CO2, although plants grown in growth chambers had significantly lower responses (+ 19 %) than those grown in greenhouses or in open-top chambers (+ 54 %). We found no consistent evidence for photosynthetic acclimation to CO2 enrichment except in trees grown in pots < 0.51 (- 36 %) and no significant CO2 effect on stomatal conductance. Both leaf dark respiration and leaf nitrogen were significantly reduced under elevated CO2 (- 18 % and - 16 % respectively, data expressed on a leaf mass basis), while leaf starch content increased significantly except in low nutrient grown gymnosperms. Our results provide robust, statistically defensible estimates of elevated CO2 effect sizes against which new results may be compared or for use in forest and climate model parameterization.","OECOLOGIA ","en",1998,"Feb","USA","USA","10.1007/s004420050381","http://dx.doi.org/10.1007/s004420050381","10.1038/srep06365","N/A","N/A","elevated CO2;meta-analysis;woody plants ","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"The file drawer problem and tolerance for null results.","Robert Rosenthal","Robert Rosenthal","For any given research area, one cannot tell how many studies have been conducted but never reported. The extreme view of the ""file drawer problem"" is that journals are filled with the 5% of the studies that show Type I errors, while the file drawers are filled with the 95% of the studies that show nonsignificant results. Quantitative procedures for computing the tolerance for filed and future null results are reported and illustrated, and the implications are discussed.","PSYCHOLOGICAL BULLETIN ","en",1979,"May","USA","USA","10.1037//0033-2909.86.3.638","http://dx.doi.org/10.1037//0033-2909.86.3.638","10.1038/srep06365","Various","Various","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
"Metawin: Statistical Software for Meta-Analysis, Version 2.","Michael S. Rosenberg ","Jessica Gurevitch","MetaWin first published in 1997, allows the user to easily carry out all common meta-analysis calculations on independent studies from a wide variety of disciplines, including medicine, ecology, and the social sciences, compare mean effect sizes and confidence limits of different classes of studies with the click of a mouse, and examine the results of within- and between-group heterogeneity using parametric methods as well as resampling tests. The program allows users to refine their analyses by choosing which specific groups and individual studies from their data sets they wish to analyze or eliminate. MetaWin was written in Pascal and compiled for Windows. It is temporarily unavailable.","Software","en",1997,"N/A","USA","USA","10.1086/420179","https://doi.org/10.1086/420179","10.1038/srep06365","N/A","N/A","N/A","introduced earthworms; plant communities; plant diversity; biological invasions; earthworm invasion; community composition; meta-analysis"
